,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
183,2172035,2016-10-06 15:15,4.29,0.0,5.89
184,2172035,2016-10-06 15:20,,0.0,
185,2172035,2016-10-06 15:25,,0.0,
186,2172035,2016-10-06 15:30,4.29,0.0,5.89
187,2172035,2016-10-06 15:35,,0.0,
188,2172035,2016-10-06 15:40,,0.0,
189,2172035,2016-10-06 15:45,4.29,0.0,5.89
190,2172035,2016-10-06 15:50,,0.0,
191,2172035,2016-10-06 15:55,,0.0,
192,2172035,2016-10-06 16:00,4.29,0.0,5.89
193,2172035,2016-10-06 16:05,,0.0,
194,2172035,2016-10-06 16:10,,0.0,
195,2172035,2016-10-06 16:15,4.28,0.0,5.74
196,2172035,2016-10-06 16:20,,0.0,
197,2172035,2016-10-06 16:25,,0.0,
198,2172035,2016-10-06 16:30,4.28,0.0,5.74
199,2172035,2016-10-06 16:35,,0.0,
200,2172035,2016-10-06 16:40,,0.0,
201,2172035,2016-10-06 16:45,4.28,0.0,5.74
202,2172035,2016-10-06 16:50,,0.0,
203,2172035,2016-10-06 16:55,,0.0,
204,2172035,2016-10-06 17:00,4.28,0.0,5.74
205,2172035,2016-10-06 17:05,,0.0,
206,2172035,2016-10-06 17:10,,0.0,
207,2172035,2016-10-06 17:15,4.28,0.0,5.74
208,2172035,2016-10-06 17:20,,0.0,
209,2172035,2016-10-06 17:25,,0.0,
210,2172035,2016-10-06 17:30,4.28,0.0,5.74
211,2172035,2016-10-06 17:35,,0.0,
212,2172035,2016-10-06 17:40,,0.0,
213,2172035,2016-10-06 17:45,4.28,0.0,5.74
214,2172035,2016-10-06 17:50,,0.0,
215,2172035,2016-10-06 17:55,,0.0,
216,2172035,2016-10-06 18:00,4.28,0.0,5.74
217,2172035,2016-10-06 18:05,,0.0,
218,2172035,2016-10-06 18:10,,0.0,
219,2172035,2016-10-06 18:15,4.28,0.0,5.74
220,2172035,2016-10-06 18:20,,0.0,
221,2172035,2016-10-06 18:25,,0.0,
222,2172035,2016-10-06 18:30,4.27,0.0,5.6
223,2172035,2016-10-06 18:35,,0.0,
224,2172035,2016-10-06 18:40,,0.0,
225,2172035,2016-10-06 18:45,4.27,0.0,5.6
226,2172035,2016-10-06 18:50,,0.0,
227,2172035,2016-10-06 18:55,,0.0,
228,2172035,2016-10-06 19:00,4.27,0.0,5.6
229,2172035,2016-10-06 19:05,,0.0,
230,2172035,2016-10-06 19:10,,0.0,
231,2172035,2016-10-06 19:15,4.27,0.0,5.6
232,2172035,2016-10-06 19:20,,0.0,
233,2172035,2016-10-06 19:25,,0.0,
234,2172035,2016-10-06 19:30,4.27,0.0,5.6
235,2172035,2016-10-06 19:35,,0.0,
236,2172035,2016-10-06 19:40,,0.0,
237,2172035,2016-10-06 19:45,4.27,0.0,5.6
238,2172035,2016-10-06 19:50,,0.0,
239,2172035,2016-10-06 19:55,,0.0,
240,2172035,2016-10-06 20:00,4.27,0.0,5.6
241,2172035,2016-10-06 20:05,,0.0,
242,2172035,2016-10-06 20:10,,0.0,
243,2172035,2016-10-06 20:15,4.26,0.0,5.45
244,2172035,2016-10-06 20:20,,0.0,
245,2172035,2016-10-06 20:25,,0.0,
246,2172035,2016-10-06 20:30,4.26,0.0,5.45
247,2172035,2016-10-06 20:35,,0.0,
248,2172035,2016-10-06 20:40,,0.0,
249,2172035,2016-10-06 20:45,4.26,0.0,5.45
250,2172035,2016-10-06 20:50,,0.0,
251,2172035,2016-10-06 20:55,,0.0,
252,2172035,2016-10-06 21:00,4.26,0.0,5.45
253,2172035,2016-10-06 21:05,,0.0,
254,2172035,2016-10-06 21:10,,0.0,
255,2172035,2016-10-06 21:15,4.26,0.0,5.45
256,2172035,2016-10-06 21:20,,0.0,
257,2172035,2016-10-06 21:25,,0.0,
258,2172035,2016-10-06 21:30,4.26,0.0,5.45
259,2172035,2016-10-06 21:35,,0.0,
260,2172035,2016-10-06 21:40,,0.0,
261,2172035,2016-10-06 21:45,4.26,0.0,5.45
262,2172035,2016-10-06 21:50,,0.0,
263,2172035,2016-10-06 21:55,,0.0,
264,2172035,2016-10-06 22:00,4.26,0.0,5.45
265,2172035,2016-10-06 22:05,,0.0,
266,2172035,2016-10-06 22:10,,0.0,
267,2172035,2016-10-06 22:15,4.26,0.0,5.45
268,2172035,2016-10-06 22:20,,0.0,
269,2172035,2016-10-06 22:25,,0.0,
270,2172035,2016-10-06 22:30,4.26,0.0,5.45
271,2172035,2016-10-06 22:35,,0.0,
272,2172035,2016-10-06 22:40,,0.0,
273,2172035,2016-10-06 22:45,4.26,0.0,5.45
274,2172035,2016-10-06 22:50,,0.0,
275,2172035,2016-10-06 22:55,,0.0,
276,2172035,2016-10-06 23:00,4.25,0.0,5.31
277,2172035,2016-10-06 23:05,,0.0,
278,2172035,2016-10-06 23:10,,0.0,
279,2172035,2016-10-06 23:15,4.25,0.0,5.31
280,2172035,2016-10-06 23:20,,0.0,
281,2172035,2016-10-06 23:25,,0.0,
282,2172035,2016-10-06 23:30,4.25,0.0,5.31
283,2172035,2016-10-06 23:35,,0.0,
284,2172035,2016-10-06 23:40,,0.0,
285,2172035,2016-10-06 23:45,4.25,0.0,5.31
286,2172035,2016-10-06 23:50,,0.0,
287,2172035,2016-10-06 23:55,,0.0,
288,2172035,2016-10-07 00:00,4.25,0.0,5.31
289,2172035,2016-10-07 00:05,,0.0,
290,2172035,2016-10-07 00:10,,0.0,
291,2172035,2016-10-07 00:15,4.25,0.0,5.31
292,2172035,2016-10-07 00:20,,0.0,
293,2172035,2016-10-07 00:25,,0.0,
294,2172035,2016-10-07 00:30,4.25,0.0,5.31
295,2172035,2016-10-07 00:35,,0.0,
296,2172035,2016-10-07 00:40,,0.0,
297,2172035,2016-10-07 00:45,4.25,0.0,5.31
298,2172035,2016-10-07 00:50,,0.0,
299,2172035,2016-10-07 00:55,,0.0,
300,2172035,2016-10-07 01:00,4.25,0.0,5.31
301,2172035,2016-10-07 01:05,,0.0,
302,2172035,2016-10-07 01:10,,0.0,
303,2172035,2016-10-07 01:15,4.24,0.0,5.18
